Incident Date,Park Name,Cause of Death,Intent,Outcome,Sex,Age Range
10/5/07,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
10/5/07,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
10/6/07,Haleakala National Park,Fall/Slips,Unintentional,Fatal injury,Male,25-34
10/8/07,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Female,0-14
10/9/07,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Female,0-14
10/14/07,Gila Cliff Dwellings National Monument,Undetermined,Undetermined,Fatal injury,Male,25-34
10/19/07,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
10/22/07,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
11/6/07,Cape Lookout National Seashore,Drowning,Unintentional,Fatal injury,Male,65
11/11/07,Yosemite National Park,Natural/Environmental,Unintentional,Fatal injury,Male,35-44
11/23/07,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
11/25/07,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
11/25/07,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,25-34
11/25/07,Yellowstone National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Undetermined
11/27/07,Rocky Mountain National Park,Undetermined,Undetermined,Fatal injury,Male,65
12/8/07,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
12/18/07,Mount Rainier National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
12/18/07,Mount Rainier National Park,Natural/Environmental,Unintentional,Fatal injury,Male,15-24
12/29/07,Death Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,25-34
12/29/07,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
1/5/08,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24
1/26/08,Biscayne National Park,Drowning,Unintentional,Fatal injury,Male,45-54
1/28/08,Sequoia & Kings Canyon National Parks,Natural/Environmental,Unintentional,Fatal injury,Male,35-44
1/29/08,Sequoia & Kings Canyon National Parks,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
1/30/08,Chickamauga & Chattanooga National Military Park,Other Specified,Unintentional,Fatal injury,Female,55-64
2/8/08,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
2/9/08,Lake Mead National Recreation Area,Undetermined,Undetermined,Fatal injury,Undetermined,35-44
2/16/08,Yosemite National Park,Fall/Slips,Unintentional,Fatal injury,Male,0-14
2/25/08,Great Smoky Mountains National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
2/27/08,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
2/29/08,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
3/3/08,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
3/15/08,Haleakala National Park,Poisoning,Unintentional,Fatal injury,Male,15-24
3/15/08,Gateway National Recreation Area,Other Specified,Unintentional,Fatal injury,Undetermined,Undetermined
3/15/08,Gateway National Recreation Area,Other Specified,Unintentional,Fatal injury,Undetermined,Undetermined
3/17/08,Grand Canyon National Park,Drowning,Unintentional,Fatal injury,Male,45-54
3/19/08,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
3/26/08,Shenandoah National Park,Undetermined,Undetermined,Fatal injury,Male,Undetermined
4/3/08,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
4/3/08,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
4/14/08,Golden Gate National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Female,15-24
4/18/08,Little River Canyon National Preserve,Other Transport Crash,Unintentional,Fatal injury,Male,35-44
4/26/08,Suitland,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
4/26/08,Suitland,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
5/2/08,Suitland,Undetermined,Undetermined,Fatal injury,Male,15-24
5/2/08,North Cascades National Park,Undetermined,Undetermined,Fatal injury,Male,25-34
5/3/08,Big Thicket National Preserve,Drowning,Unintentional,Fatal injury,Male,15-24
5/4/08,Buffalo National River,Drowning,Unintentional,Fatal injury,Male,0-14
5/5/08,Pinnacles National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
5/17/08,Chickasaw National Recreation Area,Other Transport Crash,Unintentional,Fatal injury,Male,15-24
5/17/08,North Cascades National Park,Other Transport Crash,Unintentional,Fatal injury,Male,55-64
5/17/08,North Cascades National Park,Other Transport Crash,Unintentional,Fatal injury,Male,65
5/20/08,Redwood National and State Parks,Drowning,Unintentional,Fatal injury,Male,35-44
5/20/08,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,Undetermined
5/23/08,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,65
5/23/08,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
5/26/08,George Washington Memorial Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
5/27/08,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
5/29/08,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
5/31/08,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,25-34
5/31/08,Curecanti National Recreation Area,Drowning,Unintentional,Fatal injury,Male,55-64
6/1/08,Little River Canyon National Preserve,Drowning,Unintentional,Fatal injury,Female,0-14
6/1/08,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
6/2/08,Canyonlands National Park,Other Transport Crash,Unintentional,Fatal injury,Male,45-54
6/2/08,Canyonlands National Park,Other Transport Crash,Unintentional,Fatal injury,Male,65
6/4/08,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,65
6/6/08,Gulf Islands National Seashore,Drowning,Unintentional,Fatal injury,Female,45-54
6/7/08,Buffalo National River,Drowning,Unintentional,Fatal injury,Female,35-44
6/8/08,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Female,45-54
6/8/08,Canyonlands National Park,Fall/Slips,Unintentional,Fatal injury,Male,55-64
6/9/08,Mount Rainier National Park,Undetermined,Undetermined,Fatal injury,Male,25-34
6/9/08,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
6/9/08,Rocky Mountain National Park,Fall/Slips,Unintentional,Fatal injury,Male,65
6/10/08,Mount Rainier National Park,Natural/Environmental,Unintentional,Fatal injury,Male,25-34
6/13/08,Chattahoochee River National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
6/14/08,Canyonlands National Park,Fall/Slips,Unintentional,Fatal injury,Male,65
6/15/08,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
6/15/08,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
6/21/08,Saguaro National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Undetermined
6/23/08,Grand Teton National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
6/24/08,Glen Canyon National Recreation Area,Poisoning,Unintentional,Fatal injury,Undetermined,Undetermined
6/25/08,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
6/25/08,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Male,25-34
6/28/08,Mammoth Cave National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Female,35-44
6/29/08,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
6/30/08,Saguaro National Park,Other Transport Crash,Unintentional,Fatal injury,Male,35-44
7/4/08,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,15-24
7/4/08,Mount Rainier National Park,Fall/Slips,Unintentional,Fatal injury,Male,15-24
7/4/08,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,25-34
7/4/08,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,45-54
7/5/08,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
7/7/08,Big South Fork National River and Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
7/7/08,Denali National Park & Preserve,Fall/Slips,Unintentional,Fatal injury,Male,15-24
7/9/08,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Undetermined,Undetermined
7/9/08,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Undetermined,Undetermined
7/13/08,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,0-14
7/19/08,Blue Ridge Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
7/19/08,Grand Teton National Park,Fall/Slips,Unintentional,Fatal injury,Male,55-64
7/21/08,Upper Delaware Scenic & Recreational River,Drowning,Unintentional,Fatal injury,Male,15-24
7/25/08,Gateway National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
7/26/08,Delaware Water Gap National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
7/26/08,North Cascades National Park,Fall/Slips,Unintentional,Fatal injury,Female,45-54
7/27/08,Dinosaur National Monument,Drowning,Unintentional,Fatal injury,Male,0-14
7/29/08,Gateway National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
8/2/08,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Male,0-14
8/8/08,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Male,15-24
8/9/08,Grand Teton National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
8/9/08,Grand Teton National Park,Fall/Slips,Unintentional,Fatal injury,Male,55-64
8/9/08,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,65
8/12/08,Great Falls,Drowning,Unintentional,Fatal injury,Male,45-54
8/21/08,Glacier National Park,Natural/Environmental,Unintentional,Fatal injury,Undetermined,Undetermined
8/24/08,Lassen Volcanic National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,55-64
8/27/08,Great Smoky Mountains National Park,Drowning,Unintentional,Fatal injury,Male,25-34
8/27/08,Lassen Volcanic National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
8/28/08,Grand Canyon National Park,Fall/Slips,Unintentional,Fatal injury,Male,55-64
8/29/08,New River Gorge National River,Drowning,Unintentional,Fatal injury,Male,25-34
8/29/08,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
9/1/08,Cape Hatteras National Seashore,Drowning,Unintentional,Fatal injury,Male,45-54
9/7/08,Mojave National Preserve,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
9/8/08,Yosemite National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
9/10/08,Glen Canyon National Recreation Area,Natural/Environmental,Unintentional,Fatal injury,Male,55-64
9/10/08,Glen Canyon National Recreation Area,Natural/Environmental,Unintentional,Fatal injury,Female,55-64
9/11/08,Great Falls,Drowning,Unintentional,Fatal injury,Undetermined,Undetermined
9/20/08,Glen Canyon National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
9/21/08,Indiana Dunes National Park,Drowning,Unintentional,Fatal injury,Female,0-14
9/25/08,Big Thicket National Preserve,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,45-54
9/29/08,Shenandoah National Park,Undetermined,Undetermined,Fatal injury,Male,45-54
9/30/08,Rocky Mountain National Park,Fall/Slips,Unintentional,Fatal injury,Male,35-44
10/3/08,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,15-24
10/3/08,Gauley River National Recreation Area,Drowning,Unintentional,Fatal injury,Female,55-64
10/5/08,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24
10/5/08,National Mall & Memorial Parks,Other Transport Crash,Unintentional,Fatal injury,Male,15-24
10/5/08,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
10/16/08,Redwood National and State Parks,Fall/Slips,Unintentional,Fatal injury,Female,15-24
10/17/08,Golden Gate National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Male,25-34
10/17/08,Zion National Park,Fall/Slips,Unintentional,Fatal injury,Male,25-34
10/22/08,Glacier National Park,Fall/Slips,Unintentional,Fatal injury,Male,Undetermined
11/4/08,Buffalo National River,Other Specified,Unintentional,Fatal injury,Male,25-34
11/8/08,Great Smoky Mountains National Park,Fall/Slips,Unintentional,Fatal injury,Male,25-34
11/8/08,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,Undetermined
11/16/08,Lake Mead National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Male,35-44
11/18/08,Amistad National Recreation Area,Drowning,Unintentional,Fatal injury,Male,Undetermined
11/20/08,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Female,25-34
11/28/08,Zion National Park,Fall/Slips,Unintentional,Fatal injury,Male,55-64
11/29/08,Zion National Park,Fall/Slips,Unintentional,Fatal injury,Male,55-64
12/4/08,Amistad National Recreation Area,Drowning,Unintentional,Fatal injury,Male,35-44
12/14/08,Gateway National Recreation Area,Natural/Environmental,Unintentional,Fatal injury,Male,55-64
12/16/08,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64
12/18/08,Harpers Ferry National Historical Park,Undetermined,Undetermined,Fatal injury,Female,65
12/26/08,Cuyahoga Valley National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
12/29/08,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
1/4/09,Golden Gate National Recreation Area,Natural/Environmental,Unintentional,Fatal injury,Female,65
1/9/09,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,65
1/9/09,Lake Mead National Recreation Area,Drowning,Unintentional,Fatal injury,Male,65
1/16/09,Hawaii Volcanoes National Park,Other Transport Crash,Unintentional,Fatal injury,Male,65
1/18/09,Hawaii Volcanoes National Park,Other Transport Crash,Unintentional,Fatal injury,Male,65
1/20/09,Chesapeake & Ohio Canal National Historical Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
1/24/09,Voyageurs National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,25-34
1/24/09,Golden Gate National Recreation Area,Undetermined,Undetermined,Fatal injury,Undetermined,Undetermined
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
1/29/09,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Fatal injury,Undetermined,Undetermined
2/3/09,Great Smoky Mountains National Park,Other Specified,Unintentional,Fatal injury,Male,55-64
2/5/09,Grand Canyon National Park,Undetermined,Undetermined,Fatal injury,Undetermined,Undetermined
2/8/09,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
2/9/09,Golden Gate National Recreation Area,Drowning,Unintentional,Fatal injury,Male,45-54
2/10/09,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44
2/17/09,Baltimore-Washington Parkway,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24
2/18/09,Golden Gate National Recreation Area,Fall/Slips,Unintentional,Fatal injury,Male,45-54
3/7/09,Hot Springs National Park,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54
3/9/09,Chattahoochee River National Recreation Area,Undetermined,Undetermined,Fatal injury,Male,45-54
